Original	Obfused	Corrected
was	was	was
young	young	young
.	.	.
Her	Her	Her
manner	manner	manner
was	was	was
one	one	one
of	of	of
passionate	passionate	passionate
grief	grief	grief
;	;	;
by	by	by
turns	turns	turns
she	she	she
clasped	clasped	clasped
her	her	her
veinous	veinous	_UNK
and	and	and
knotted	knotted	knotted
hands	hands	hands
together	together	together
with	with	with
wild	wild	wild
energy	energy	energy
,	,	,
and	and	and
laid	laid	laid
one	one	one
of	of	of
them	them	them
on	on	on
the	a	the
carriage-door--tenderly	carriage-door--tenderly	_UNK
,	,	,
caressingly	caressingly	_UNK
,	,	,
as	as	as
if	if	if
it	it	it
had	had	had
been	been	been
a	a	the
human	human	human
breast	breast	breast
,	,	,
and	and	and
could	could	could
be	be	be
expected	expected	expected
to	to	to
feel	feel	feel
the	the	the
appealing	appealing	appealing
touch	touch	touch
.	.	.
""""	""""	""""
Monseigneur	Monseigneur	_UNK
,	,	,
hear	hear	hear
me	me	me
!	!	!
Monseigneur	Monseigneur	_UNK
,	,	,
hear	hear	hear
my	my	my
petition	petition	_UNK
!	!	!
My	My	My
husband	husband	husband
died	died	died
of	of	of
want	want	want
;	;	;
so	so	so
many	many	many
die	die	die
of	of	of
want	want	want
;	;	;
so	so	so
many	many	many
more	more	more
will	will	will
die	die	die
of	of	of
want	want	want
.	.	.
""""	""""	""""
""""	""""	""""
Again	Again	Again
,	,	,
well	well	well
?	?	?
Can	Can	patted
I	I	I
feed	feed	feed
them	them	them
?	?	?
""""	""""	""""
""""	""""	""""
Monseigneur	Monseigneur	_UNK
,	,	,
the	the	the
good	good	good
God	God	God
knows	knows	knows
;	;	;
but	but	but
I	I	I
don	don	don
'	'	'
t	t	t
ask	ask	ask
it	it	it
.	.	.
My	My	My
petition	petition	_UNK
is	is	is
,	,	,
that	that	that
a	a	the
morsel	morsel	morsel
of	of	of
stone	stone	stone
or	or	or
wood	wood	wood
,	,	,
with	with	with
my	my	my
husband	husband	husband
'	'	'
s	s	s
name	name	name
,	,	,
may	may	may
be	be	be
placed	placed	placed
over	over	over
him	him	him
to	to	to
show	show	show
where	where	where
he	he	he
lies	lies	lies
.	.	.
Otherwise	Otherwise	_UNK
,	,	,
the	the	a
place	place	place
will	will	will
be	be	be
quickly	quickly	quickly
forgotten	forgotten	forgotten
,	,	,
it	it	it
will	will	will
never	never	never
be	be	be
found	found	found
when	when	when
I	I	I
am	am	am
dead	dead	dead
of	of	of
the	the	the
same	same	same
malady	malady	_UNK
,	,	,
I	I	I
shall	shall	shall
be	be	be
laid	laid	laid
under	under	under
some	some	some
other	other	other
heap	heap	heap
of	of	of
poor	poor	poor
grass	grass	grass
.	.	.
Monseigneur	Monseigneur	_UNK
,	,	,
they	they	they
are	are	are
so	so	so
many	many	many
,	,	,
they	they	they
increase	increase	increase
so	so	so
fast	fast	fast
,	,	,
there	there	there
is	is	is
so	so	so
much	much	much
want	want	want
.	.	.
Monseigneur	Monseigneur	_UNK
!	!	!
Monseigneur	Monseigneur	_UNK
!	!	!
""""	""""	""""
The	The	The
valet	valet	_UNK
had	had	had
put	put	put
her	her	her
away	away	away
from	from	from
the	the	the
door	door	door
,	,	,
the	the	the
carriage	carriage	carriage
had	had	had
broken	broken	broken
into	into	into
a	a	a
brisk	brisk	brisk
trot	trot	trot
,	,	,
the	the	the
postilions	postilions	_UNK
had	had	had
quickened	quickened	quickened
the	the	a
pace	pace	pace
,	,	,
she	she	she
was	was	was
left	left	left
far	far	far
behind	behind	behind
,	,	,
and	and	and
Monseigneur	Monseigneur	_UNK
,	,	,
again	again	again
escorted	escorted	escorted
by	by	by
the	the	the
Furies	Furies	_UNK
,	,	,
was	was	was
rapidly	rapidly	rapidly
diminishing	diminishing	diminishing
the	the	a
league	league	_UNK
or	or	or
two	two	two
of	of	of
distance	distance	distance
that	that	that
remained	remained	remained
between	between	between
him	him	him
and	and	and
his	his	his
chateau	chateau	_UNK
.	.	.
The	A	A
sweet	sweet	sweet
scents	scents	_UNK
of	of	of
the	the	a
summer	summer	summer
night	night	night
rose	rose	rose
all	all	all
around	around	around
him	him	him
,	,	,
and	and	and
rose	rose	rose
,	,	,
as	as	as
the	the	the
rain	rain	rain
falls	falls	;
,	,	,
impartially	impartially	impartially
,	,	,
on	on	on
the	the	the
dusty	dusty	dusty
,	,	,
ragged	ragged	ragged
,	,	,
and	and	and
toil-worn	toil-worn	_UNK
group	group	group
at	at	at
the	the	the
fountain	fountain	_UNK
not	not	not
far	far	far
away	away	away
;	;	;
to	to	to
whom	whom	whom
the	a	the
mender	mender	_UNK
of	of	of
roads	roads	roads
,	,	,
with	with	with
the	the	the
aid	aid	aid
of	of	of
the	the	a
blue	blue	blue
cap	cap	cap
without	without	without
which	which	which
he	he	he
was	was	was
nothing	nothing	nothing
,	,	,
still	still	still
enlarged	enlarged	_UNK
upon	upon	upon
his	his	his
man	man	man
like	like	like
a	a	a
spectre	spectre	_UNK
,	,	,
as	as	as
long	long	long
as	as	as
they	they	they
could	could	could
bear	bear	bear
it	it	it
.	.	.
By	By	By
degrees	degrees	degrees
,	,	,
as	as	as
they	they	they
could	could	could
bear	bear	bear
no	no	no
more	more	more
,	,	,
they	they	they
dropped	dropped	dropped
off	off	off
one	one	one
by	by	by
one	one	one
,	,	,
and	and	and
lights	lights	lights
twinkled	twinkled	_UNK
in	in	in
little	little	little
casements	casements	_UNK
;	;	;
which	which	which
lights	lights	lights
,	,	,
as	as	as
the	the	the
casements	casements	_UNK
darkened	darkened	darkened
,	,	,
and	and	and
more	more	more
stars	stars	stars
came	came	came
out	out	out
,	,	,
seemed	seemed	seemed
to	to	to
have	have	have
shot	shot	shot
up	up	up
into	into	into
the	the	the
sky	sky	sky
instead	instead	instead
of	of	of
having	having	having
been	been	been
extinguished	extinguished	extinguished
.	.	.
The	The	The
shadow	shadow	shadow
of	of	of
a	the	a
large	large	large
high-roofed	high-roofed	_UNK
house	house	house
,	,	,
and	and	and
of	of	of
many	many	many
over-hanging	over-hanging	_UNK
trees	trees	trees
,	,	,
was	was	was
upon	upon	upon
Monsieur	Monsieur	_UNK
the	the	the
Marquis	Marquis	_UNK
by	by	by
that	that	that
time	time	time
;	;	;
and	and	and
the	a	the
shadow	shadow	shadow
was	was	was
exchanged	exchanged	exchanged
for	for	for
the	the	the
light	light	light
of	of	of
a	a	the
flambeau	flambeau	_UNK
,	,	,
as	as	as
his	his	his
carriage	carriage	carriage
stopped	stopped	stopped
,	,	,
and	and	and
the	a	a
great	great	great
door	door	door
of	of	of
his	his	his
chateau	chateau	_UNK
was	was	was
opened	opened	opened
to	to	to
him	him	him
.	.	.
""""	""""	""""
Monsieur	Monsieur	_UNK
Charles	Charles	Charles
,	,	,
whom	whom	whom
I	I	I
expect	expect	expect
;	;	;
is	is	is
he	he	he
arrived	arrived	arrived
from	from	from
England	England	England
?	?	?
""""	""""	""""
""""	""""	""""
Monseigneur	Monseigneur	_UNK
,	,	,
not	not	not
yet	yet	yet
.	.	.
""""	""""	""""
IX	IX	_UNK
.	.	.
The	The	The
Gorgon	Gorgon	_UNK
'	'	'
s	s	s
Head	Head	_UNK
It	It	It
was	was	was
a	a	a
heavy	heavy	heavy
mass	mass	mass
of	of	of
building	building	building
,	,	,
that	that	that
chateau	chateau	_UNK
of	of	of
Monsieur	Monsieur	_UNK
the	the	the
Marquis	Marquis	_UNK
,	,	,
with	with	with
a	the	a
large	large	large
stone	stone	stone
courtyard	courtyard	_UNK
before	before	before
it	it	it
,	,	,
and	and	and
two	two	two
stone	stone	stone
sweeps	sweeps	_UNK
of	of	of
staircase	staircase	staircase
meeting	meeting	meeting
in	in	in
a	a	a
stone	stone	stone
terrace	terrace	_UNK
before	before	before
the	a	the
principal	principal	bolts
door	door	door
.	.	.
A	A	A
stony	stony	_UNK
business	business	business
altogether	altogether	altogether
,	,	,
with	with	with
heavy	heavy	heavy
stone	stone	stone
balustrades	balustrades	_UNK
,	,	,
and	and	and
stone	stone	stone
urns	urns	_UNK
,	,	,
and	and	and
stone	stone	stone
flowers	flowers	flowers
,	,	,
and	and	and
stone	stone	stone
faces	faces	faces
of	of	of
men	men	men
,	,	,
and	and	and
stone	stone	stone
heads	heads	heads
of	of	of
lions	lions	_UNK
,	,	,
in	in	in
all	all	all
directions	directions	directions
.	.	.
As	As	As
if	if	if
the	the	the
Gorgon	Gorgon	_UNK
'	'	'
s	s	s
head	head	head
had	had	had
surveyed	surveyed	surveyed
it	it	it
,	,	,
when	when	when
it	it	it
was	was	was
finished	finished	finished
,	,	,
two	two	two
centuries	centuries	_UNK
ago	ago	ago
.	.	.
Up	Up	notes
the	the	a
broad	broad	broad
flight	flight	flight
of	of	of
shallow	shallow	the
steps	steps	steps
,	,	,
Monsieur	Monsieur	_UNK
the	the	a
Marquis	Marquis	_UNK
,	,	,
flambeau	flambeau	_UNK
preceded	preceded	preceded
,	,	,
went	went	went
from	from	from
his	his	his
carriage	carriage	carriage
,	,	,
sufficiently	sufficiently	sufficiently
disturbing	disturbing	_UNK
the	the	the
darkness	darkness	darkness
to	to	to
elicit	elicit	;
loud	loud	loud
remonstrance	remonstrance	remonstrance
from	from	from
an	an	an
owl	owl	_UNK
in	in	in
the	the	the
roof	roof	roof
of	of	of
the	the	the
great	great	great
pile	pile	pursuance
of	of	of
stable	stable	_UNK
building	building	building
away	away	away
among	among	among
the	a	the
trees	trees	trees
.	.	.
All	All	All
else	else	else
was	was	was
so	so	so
quiet	quiet	quiet
,	,	,
that	that	that
the	a	the
flambeau	flambeau	_UNK
carried	carried	carried
up	up	up
the	the	the
steps	steps	steps
,	,	,
and	and	and
the	the	the
other	other	other
flambeau	flambeau	_UNK
held	held	held
at	at	at
the	the	a
great	great	great
door	door	door
,	,	,
burnt	burnt	burnt
as	as	as
if	if	if
they	they	they
were	were	were
in	in	in
a	a	a
close	close	close
room	room	room
of	of	of
state	state	state
,	,	,
instead	instead	instead
of	of	of
being	being	being
in	in	in
the	the	the
open	open	open
night-air	night-air	_UNK
.	.	.
Other	Other	elevating
sound	sound	sound
than	than	than
the	the	the
owl	owl	_UNK
'	'	'
s	s	s
voice	voice	voice
there	there	there
was	was	was
none	none	none
,	,	,
save	save	save
the	the	the
falling	falling	falling
of	of	of
a	a	the
fountain	fountain	_UNK
into	into	into
its	its	its
stone	stone	stone
basin	basin	basin
;	;	;
for	for	for
,	,	,
it	it	it
was	was	was
one	one	one
of	of	of
those	those	those
dark	dark	dark
nights	nights	nights
that	that	that
hold	hold	hold
their	their	their
breath	breath	breath
by	by	by
the	a	the
hour	hour	hour
together	together	together
,	,	,
and	and	and
then	then	then
heave	heave	heave
a	a	a
long	long	long
low	low	low
sigh	sigh	sigh
,	,	,
and	and	and
hold	hold	hold
their	their	their
breath	breath	breath
again	again	again
.	.	.
The	The	The
great	great	great
door	door	door
clanged	clanged	_UNK
behind	behind	behind
him	him	him
,	,	,
and	and	and
Monsieur	Monsieur	_UNK
the	the	the
Marquis	Marquis	_UNK
crossed	crossed	crossed
a	the	the
hall	hall	hall
grim	grim	grim
with	with	with
certain	certain	certain
old	old	old
boar-spears	boar-spears	_UNK
,	,	,
swords	swords	_UNK
,	,	,
and	and	and
knives	knives	_UNK
of	of	of
the	the	the
chase	chase	chase
;	;	;
grimmer	grimmer	_UNK
with	with	with
certain	certain	certain
heavy	heavy	heavy
riding-rods	riding-rods	_UNK
and	and	and
riding-whips	riding-whips	_UNK
,	,	,
of	of	of
which	which	which
many	many	many
a	a	a
peasant	peasant	_UNK
,	,	,
gone	gone	gone
to	to	to
his	his	his
benefactor	benefactor	benefactor
Death	Death	Death
,	,	,
had	had	had
felt	felt	felt
the	a	the
weight	weight	weight
when	when	when
his	his	his
lord	lord	lord
was	was	was
angry	angry	angry
.	.	.
Avoiding	Avoiding	inspect
the	the	the
larger	larger	_UNK
rooms	rooms	rooms
,	,	,
which	which	which
were	were	were
dark	dark	dark
and	and	and
made	made	made
fast	fast	fast
for	for	for
the	the	the
night	night	night
,	,	,
Monsieur	Monsieur	_UNK
the	the	a
Marquis	Marquis	_UNK
,	,	,
with	with	with
his	his	his
flambeau-bearer	flambeau-bearer	_UNK
going	going	going
on	on	on
before	before	before
,	,	,
went	went	went
up	up	up
the	the	the
staircase	staircase	staircase
to	to	to
a	the	the
door	door	door
in	in	in
a	a	the
corridor	corridor	_UNK
.	.	.
This	This	This
thrown	thrown	thrown
open	open	open
,	,	,
admitted	admitted	admitted
him	him	him
to	to	to
his	his	his
own	own	own
private	private	private
apartment	apartment	apartment
of	of	of
three	three	three
rooms	rooms	rooms
:	:	:
his	his	his
bed-chamber	bed-chamber	_UNK
and	and	and
two	two	two
others	others	others
.	.	.
High	High	High
vaulted	vaulted	_UNK
rooms	rooms	rooms
with	with	with
cool	cool	cool
uncarpeted	uncarpeted	_UNK
floors	floors	,
,	,	,
great	great	great
dogs	dogs	dogs
upon	upon	upon
the	the	the
hearths	hearths	_UNK
for	for	for
the	a	a
burning	burning	burning
of	of	of
wood	wood	wood
in	in	in
winter	winter	winter
time	time	time
,	,	,
and	and	and
all	all	all
luxuries	luxuries	_UNK
befitting	befitting	befitting
the	the	a
state	state	state
of	of	of
a	the	the
marquis	marquis	_UNK
in	in	in
a	the	the
luxurious	luxurious	_UNK
age	age	age
and	and	and
country	country	country
.	.	.
The	The	The
fashion	fashion	fashion
of	of	of
the	the	the
last	last	last
Louis	Louis	_UNK
but	but	but
one	one	one
,	,	,
of	of	of
the	the	the
line	line	line
that	that	that
was	was	was
never	never	never
to	to	to
break--the	break--the	_UNK
fourteenth	fourteenth	_UNK
Louis--was	Louis--was	_UNK
conspicuous	conspicuous	conspicuous
in	in	in
their	their	their
rich	rich	rich
furniture	furniture	furniture
;	;	;
but	but	but
,	,	,
it	it	it
was	was	was
diversified	diversified	_UNK
by	by	by
many	many	many
objects	objects	objects
that	that	that
were	were	were
illustrations	illustrations	_UNK
of	of	of
old	old	old
pages	pages	pages
in	in	in
the	a	a
history	history	history
of	of	of
France	France	famine
.	.	.
A	A	A
supper-table	supper-table	_UNK
was	was	was
laid	laid	laid
for	for	for
two	two	two
,	,	,
in	in	in
the	the	the
third	third	third
of	of	of
the	a	the
rooms	rooms	rooms
;	;	;
a	a	a
round	round	round
room	room	room
,	,	,
in	in	in
one	one	one
of	of	of
the	the	the
chateau	chateau	_UNK
'	'	'
s	s	s
four	four	four
extinguisher-topped	extinguisher-topped	_UNK
towers	towers	_UNK
.	.	.
A	A	A
small	small	small
lofty	lofty	lofty
room	room	room
,	,	,
with	with	with
its	its	its
window	window	window
wide	wide	wide
open	open	open
,	,	,
and	and	and
the	a	a
wooden	wooden	wooden
jalousie-blinds	jalousie-blinds	_UNK
closed	closed	closed
,	,	,
so	so	so
that	that	that
the	the	the
dark	dark	dark
night	night	night
only	only	only
showed	showed	showed
in	in	in
slight	slight	slight
horizontal	horizontal	_UNK
lines	lines	boasts
of	of	of
black	black	black
,	,	,
alternating	alternating	_UNK
with	with	with
their	their	their
broad	broad	broad
lines	lines	boasts
of	of	of
stone	stone	stone
colour	colour	colour
.	.	.
""""	""""	""""
My	My	My
nephew	nephew	_UNK
,	,	,
""""	""""	""""
said	said	said
the	the	the
Marquis	Marquis	_UNK
,	,	,
glancing	glancing	glancing
at	at	at
the	the	the
supper	supper	supper
preparation	preparation	preparation
;	;	;
""""	""""	""""
they	they	they
said	said	said
he	he	he
was	was	was
not	not	not
arrived	arrived	arrived
.	.	.
""""	""""	""""
Nor	Nor	Nor
was	was	was
he	he	he
;	;	;
but	but	but
,	,	,
he	he	he
had	had	had
been	been	been
expected	expected	expected
with	with	with
Monseigneur	Monseigneur	_UNK
.	.	.
""""	""""	""""
Ah	Ah	Ah
!	!	!
It	It	It
is	is	is
not	not	not
probable	probable	probable
he	he	he
will	will	will
arrive	arrive	arrive
to-night	to-night	to-night
;	;	;
nevertheless	nevertheless	nevertheless
,	,	,
leave	leave	leave
the	the	the
table	table	table
as	as	as
it	it	it
is	is	is
.	.	.
I	I	I
shall	shall	shall
be	be	be
ready	ready	ready
in	in	in
a	a	a
quarter	quarter	quarter
of	of	of
an	an	an
hour	hour	hour
.	.	.
""""	""""	""""
In	In	In
a	the	a
quarter	quarter	quarter
of	of	of
an	an	an
hour	hour	hour
Monseigneur	Monseigneur	_UNK
was	was	was
ready	ready	ready
,	,	,
and	and	and
sat	sat	sat
down	down	down
alone	alone	alone
to	to	to
his	his	his
sumptuous	sumptuous	_UNK
and	and	and
choice	choice	choice
supper	supper	supper
.	.	.
His	His	His
chair	chair	chair
was	was	was
opposite	opposite	opposite
to	to	to
the	the	the
window	window	window
,	,	,
and	and	and
he	he	he
had	had	had
taken	taken	taken
his	his	his
soup	soup	_UNK
,	,	,
and	and	and
was	was	was
raising	raising	raising
his	his	his
glass	glass	glass
of	of	of
Bordeaux	Bordeaux	_UNK
to	to	to
his	his	his
lips	lips	lips
,	,	,
when	when	when
he	he	he
put	put	put
it	it	it
down	down	down
.	.	.
""""	""""	""""
What	What	What
is	is	is
that	that	that
?	?	?
""""	""""	""""
he	he	he
calmly	calmly	_UNK
asked	asked	asked
,	,	,
looking	looking	looking
with	with	with
attention	attention	attention
at	at	at
the	the	the
horizontal	horizontal	_UNK
lines	lines	boasts
of	of	of
black	black	black
and	and	and
stone	stone	stone
colour	colour	colour
.	.	.
""""	""""	""""
Monseigneur	Monseigneur	_UNK
?	?	?
That	That	That
?	?	?
""""	""""	""""
""""	""""	""""
Outside	Outside	'
the	the	a
blinds	blinds	blinds
.	.	.
Open	Open	notes
the	a	the
blinds	blinds	blinds
.	.	.
""""	""""	""""
It	It	It
was	was	was
done	done	done
.	.	.
""""	""""	""""
Well	Well	Well
?	?	?
""""	""""	""""
""""	""""	""""
Monseigneur	Monseigneur	_UNK
,	,	,
it	it	it
is	is	is
nothing	nothing	nothing
.	.	.
The	The	The
trees	trees	trees
and	and	and
the	the	the
night	night	night
are	are	are
all	all	all
that	that	that
are	are	are
here	here	here
.	.	.
""""	""""	""""
The	The	The
servant	servant	servant
who	who	who
spoke	spoke	spoke
,	,	,
had	had	had
thrown	thrown	thrown
the	the	the
blinds	blinds	blinds
wide	wide	wide
,	,	,
had	had	had
looked	looked	looked
out	out	out
into	into	into
the	the	the
vacant	vacant	vacant
darkness	darkness	darkness
,	,	,
and	and	and
stood	stood	stood
with	with	with
that	that	that
blank	blank	blank
behind	behind	behind
him	him	him
,	,	,
looking	looking	looking
round	round	round
for	for	for
instructions	instructions	instructions
.	.	.
""""	""""	""""
Good	Good	Good
,	,	,
""""	""""	""""
said	said	said
the	the	the
imperturbable	imperturbable	_UNK
master	master	master
.	.	.
""""	""""	""""
Close	Close	Close
them	them	them
again	again	again
.	.	.
""""	""""	""""
That	That	That
was	was	was
done	done	done
too	too	too
,	,	,
and	and	and
the	the	the
Marquis	Marquis	_UNK
went	went	went
on	on	on
with	with	with
his	his	his
supper	supper	supper
.	.	.
He	He	He
was	was	was
half	half	half
way	way	way
through	through	through
it	it	it
,	,	,
when	when	when
he	he	he
again	again	again
stopped	stopped	stopped
with	with	with
his	his	his
glass	glass	glass
in	in	in
his	his	his
hand	hand	hand
,	,	,
hearing	hearing	hearing
the	the	the
sound	sound	sound
of	of	of
wheels	wheels	wheels
.	.	.
It	It	It
came	came	came
on	on	on
briskly	briskly	briskly
,	,	,
and	and	and
came	came	came
up	up	up
to	to	to
the	the	the
front	front	front
of	of	of
the	the	the
chateau	chateau	_UNK
.	.	.
""""	""""	""""
Ask	Ask	_UNK
who	who	who
is	is	is
arrived	arrived	arrived
.	.	.
""""	""""	""""
It	It	It
was	was	was
the	the	the
nephew	nephew	_UNK
of	of	of
Monseigneur	Monseigneur	_UNK
.	.	.
He	He	He
had	had	had
been	been	been
some	some	some
few	few	few
leagues	leagues	_UNK
behind	behind	behind
Monseigneur	Monseigneur	_UNK
,	,	,
early	early	early
in	in	in
the	a	the
afternoon	afternoon	afternoon
.	.	.
He	He	He
had	had	had
diminished	diminished	diminished
the	the	the
distance	distance	distance
rapidly	rapidly	rapidly
,	,	,
but	but	but
not	not	not
so	so	so
rapidly	rapidly	rapidly
as	as	as
to	to	to
come	come	come
up	up	up
with	with	with
Monseigneur	Monseigneur	_UNK
on	on	on
the	the	the
road	road	road
.	.	.
He	He	He
had	had	had
heard	heard	heard
of	of	of
Monseigneur	Monseigneur	_UNK
,	,	,
at	at	at
the	the	the
posting-houses	posting-houses	_UNK
,	,	,
as	as	as
being	being	being
before	before	before
him	him	him
.	.	.
He	He	He
was	was	was
to	to	to
be	be	be
told	told	told
(	(	(
said	said	said
Monseigneur	Monseigneur	_UNK
)	)	)
that	that	that
supper	supper	supper
awaited	awaited	awaited
him	him	him
then	then	then
and	and	and
there	there	there
,	,	,
and	and	and
that	that	that
he	he	he
was	was	was
prayed	prayed	prayed
to	to	to
come	come	come
to	to	to
it	it	it
.	.	.
In	In	In
a	the	a
little	little	little
while	while	while
he	he	he
came	came	came
.	.	.
He	He	He
had	had	had
been	been	been
known	known	known
in	in	in
England	England	England
as	as	as
Charles	Charles	Charles
Darnay	Darnay	_UNK
.	.	.
Monseigneur	Monseigneur	_UNK
received	received	received
him	him	him
in	in	in
a	the	the
courtly	courtly	_UNK
manner	manner	manner
,	,	,
but	but	but
they	they	they
did	did	did
not	not	not
shake	shake	shake
hands	hands	hands
.	.	.
""""	""""	""""
You	You	You
left	left	left
Paris	Paris	it
yesterday	yesterday	yesterday
,	,	,
sir	sir	sir
?	?	?
""""	""""	""""
he	he	he
said	said	said
to	to	to
Monseigneur	Monseigneur	_UNK
,	,	,
as	as	as
he	he	he
took	took	took
his	his	his
seat	seat	seat
at	at	at
table	table	table
.	.	.
""""	""""	""""
Yesterday	Yesterday	_UNK
.	.	.
And	And	And
you	you	you
?	?	?
""""	""""	""""
""""	""""	""""
I	I	I
come	come	come
direct	direct	direct
.	.	.
""""	""""	""""
""""	""""	""""
From	From	From
London	London	London
?	?	?
""""	""""	""""
""""	""""	""""
Yes	Yes	Yes
.	.	.
""""	""""	""""
""""	""""	""""
You	You	You
have	have	have
been	been	been
a	the	a
long	long	long
time	time	time
coming	coming	coming
,	,	,
""""	""""	""""
said	said	said
the	the	the
Marquis	Marquis	_UNK
,	,	,
with	with	with
a	a	a
smile	smile	smile
.	.	.
""""	""""	""""
On	On	On
the	the	the
contrary	contrary	contrary
;	;	;
I	I	I
come	come	come
direct	direct	direct
.	.	.
""""	""""	""""
""""	""""	""""
Pardon	Pardon	_UNK
me	me	me
!	!	!
I	I	I
mean	mean	mean
,	,	,
not	not	not
a	a	a
long	long	long
time	time	time
on	on	on
the	the	the
journey	journey	journey
;	;	;
a	the	a
long	long	long
time	time	time
intending	intending	_UNK
the	the	the
journey	journey	journey
.	.	.
""""	""""	""""
""""	""""	""""
I	I	I
have	have	have
been	been	been
detained	detained	'
by	by	by
""""	""""	""""
--the	--the	--the
nephew	nephew	_UNK
stopped	stopped	stopped
a	a	the
moment	moment	moment
in	in	in
his	his	his
answer--	answer--	_UNK
""""	""""	""""
various	various	various
business	business	business
.	.	.
""""	""""	""""
""""	""""	""""
Without	Without	Without
doubt	doubt	doubt
,	,	,
""""	""""	""""
said	said	said
the	the	the
polished	polished	polished
uncle	uncle	uncle
.	.	.
So	So	So
long	long	long
as	as	as
a	a	the
servant	servant	servant
was	was	was
present	present	present
,	,	,
no	no	no
other	other	other
words	words	words
passed	passed	passed
between	between	between
them	them	them
.	.	.
When	When	When
coffee	coffee	coffee
had	had	had
been	been	been
served	served	served
and	and	and
they	they	they
were	were	were
alone	alone	alone
together	together	together
,	,	,
the	the	the
nephew	nephew	_UNK
,	,	,
looking	looking	looking
at	at	at
the	the	the
uncle	uncle	uncle
and	and	and
meeting	meeting	meeting
the	a	the
eyes	eyes	eyes
of	of	of
the	the	the
face	face	face
that	that	that
was	was	was
like	like	like
a	the	a
fine	fine	fine
mask	mask	mask
,	,	,
opened	opened	opened
a	the	the
conversation	conversation	conversation
.	.	.
""""	""""	""""
I	I	I
have	have	have
come	come	come
back	back	back
,	,	,
sir	sir	sir
,	,	,
as	as	as
you	you	you
anticipate	anticipate	_UNK
,	,	,
pursuing	pursuing	pursuing
the	the	the
object	object	object
that	that	that
took	took	took
me	me	me
away	away	away
.	.	.
It	It	It
carried	carried	carried
me	me	me
into	into	into
great	great	great
and	and	and
unexpected	unexpected	unexpected
peril	peril	peril
;	;	;
but	but	but
it	it	it
is	is	is
a	a	a
sacred	sacred	sufficiency
object	object	object
,	,	,
and	and	and
if	if	if
it	it	it
had	had	had
carried	carried	carried
me	me	me
to	to	to
death	death	death
I	I	I
hope	hope	hope
it	it	it
would	would	would
have	have	have
sustained	sustained	sustained
me	me	me
.	.	.
""""	""""	""""
""""	""""	""""
Not	Not	Not
to	to	to
death	death	death
,	,	,
""""	""""	""""
said	said	said
the	the	the
uncle	uncle	uncle
;	;	;
""""	""""	""""
it	it	it
is	is	is
not	not	not
necessary	necessary	necessary
to	to	to
say	say	say
,	,	,
to	to	to
death	death	death
.	.	.
""""	""""	""""
""""	""""	""""
I	I	I
doubt	doubt	doubt
,	,	,
sir	sir	sir
,	,	,
""""	""""	""""
returned	returned	returned
the	the	the
nephew	nephew	_UNK
,	,	,
""""	""""	""""
whether	whether	whether
,	,	,
if	if	if
it	it	it
had	had	had
carried	carried	carried
me	me	me
to	to	to
the	a	the
utmost	utmost	utmost
brink	brink	brink
of	of	of
death	death	death
,	,	,
you	you	you
would	would	would
have	have	have
cared	cared	_UNK
to	to	to
stop	stop	stop
me	me	me
there	there	there
.	.	.
""""	""""	""""
The	The	The
deepened	deepened	_UNK
marks	marks	marks
in	in	in
the	the	the
nose	nose	nose
,	,	,
and	and	and
the	the	the
lengthening	lengthening	_UNK
of	of	of
the	the	a
fine	fine	fine
straight	straight	straight
lines	lines	period
in	in	in
the	the	the
cruel	cruel	cruel
face	face	face
,	,	,
looked	looked	looked
ominous	ominous	_UNK
as	as	as
to	to	to
that	that	that
;	;	;
the	the	the
uncle	uncle	uncle
made	made	made
a	a	a
graceful	graceful	_UNK
gesture	gesture	gesture
of	of	of
protest	protest	_UNK
,	,	,
which	which	which
was	was	was
so	so	so
clearly	clearly	clearly
a	a	a
slight	slight	slight
form	form	form
of	of	of
good	good	good
breeding	breeding	breeding
that	that	that
it	it	it
was	was	was
not	not	not
reassuring	reassuring	_UNK
.	.	.
""""	""""	""""
Indeed	Indeed	Indeed
,	,	,
sir	sir	sir
,	,	,
""""	""""	""""
pursued	pursued	pursued
the	the	the
nephew	nephew	_UNK
,	,	,
""""	""""	""""
for	for	for
anything	anything	anything
I	I	I
know	know	know
,	,	,
you	you	you
may	may	may
have	have	have
expressly	expressly	_UNK
worked	worked	worked
to	to	to
give	give	give
a	a	the
more	more	more
suspicious	suspicious	suspicious
appearance	appearance	appearance
to	to	to
the	the	a
suspicious	suspicious	suspicious
circumstances	circumstances	circumstances
that	that	that
surrounded	surrounded	surrounded
me	me	me
.	.	.
""""	""""	""""
""""	""""	""""
No	No	No
,	,	,
no	no	no
,	,	,
no	no	no
,	,	,
""""	""""	""""
said	said	said
the	a	the
uncle	uncle	uncle
,	,	,
pleasantly	pleasantly	pleasantly
.	.	.
""""	""""	""""
But	But	But
,	,	,
however	however	however
that	that	that
may	may	may
be	be	be
,	,	,
""""	""""	""""
resumed	resumed	resumed
the	the	the
nephew	nephew	_UNK
,	,	,
glancing	glancing	glancing
at	at	at
him	him	him
with	with	with
deep	deep	deep
distrust	distrust	tears
,	,	,
""""	""""	""""
I	I	I
know	know	know
that	that	that
your	your	your
diplomacy	diplomacy	_UNK
would	would	would
stop	stop	stop
me	me	me
by	by	by
any	any	any
means	means	means
,	,	,
and	and	and
would	would	would
know	know	know
no	no	no
scruple	scruple	scruple
as	as	as
